open,news_size,year,month,day,news0,news1,news2,news3,news4,news5,news6,news7,news8,news9,news10,news11,news12,news13,news14,news15,news16,news17,news18,news19,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15,shift16,shift17,shift18,shift19,shift20,shift21,shift22,shift23,shift24,shift25,shift26,shift27,shift28,shift29,shift30,shift31,shift32,shift33,shift34,shift35,shift36,shift37,shift38,shift39,shift40,shift41,shift42,shift43,shift44,shift45,shift46,shift47,shift48,shift49,shift50,shift51,shift52,shift53,shift54,shift55,shift56,shift57,shift58,shift59,shift60,shift61,shift62,shift63,shift64,shift65
2388.27,40,2018,11,13,0.0677491057425161,-0.1351363104029224,-0.1311910655855783,0.0209847562454425,0.182165795607191,0.4090549842860699,0.0498070913682152,-0.0424061111011195,0.1960128276868926,-0.2811051177412179,0.1213334511817503,0.403371135556301,-0.1431094358872149,0.0209847562454425,-0.0371940231570067,0.1233189835790775,0.0209847562454425,0.0680670132632194,0.0736803992273021,0.0977966915635904,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23,2359.06,2339.4,2339.77,2336.16,2322.67,2321.66
2368.89,20,2018,11,14,0.018882475383382,0.1430104900557474,0.1622021501936625,0.0192886198912506,0.0491648551783974,-0.0389474051263241,0.150983579088428,-0.3610102519808648,0.0252199133760365,0.1372096964195722,0.0209847562454425,0.0848831734782816,0.0605391027266991,-0.4125982467620994,-0.1526087892535564,-0.0581318895936614,0.0336700087657138,-0.1146144737192448,-0.0731520624989749,0.271680111711378,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23,2359.06,2339.4,2339.77,2336.16,2322.67
2382.43,20,2018,11,15,0.1931436283973466,-0.0772517690150742,-0.022494190544936,0.0213884242545408,0.0260146291637173,-0.0181314856888974,-0.0583126056010423,0.1487338346952926,0.1931436283973466,0.0269160497302285,0.0951149721686034,0.0451395632109841,0.1010539556150037,-0.1180640509654281,0.0568631516506773,0.0504514876528323,0.0367105347379843,0.1280625576236869,0.3240744781228207,0.063820616806803,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23,2359.06,2339.4,2339.77,2336.16
2384.76,20,2018,11,16,0.1811751793172994,0.0844514516800607,0.1284705609474419,0.0209847562454425,0.098246135658444,-0.0430852734882573,-0.0179222489194559,0.1281183671096195,-0.0232216266337823,0.1111998889044877,0.1521724184081116,-0.2524015017997776,-0.2224970249785798,-0.0407714303786367,0.0336700087657138,-0.1324257035417664,0.2039682937740231,-0.171543896166091,0.1310045420439919,-0.1669197951893108,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23,2359.06,2339.4,2339.77
2383.595,4,2018,11,17,0.0637761939514948,0.1212902882036749,0.0406201093437871,0.1578468994557025,0.1143961713026901,-0.3587377522259012,-0.2502561969930742,0.0930247594047744,0.0186645448486946,0.1410334757669907,-0.2778454192974923,0.085134131813712,0.1262900259877311,0.008477772858684,0.0219019633230533,0.002435024992684,0.0159890356777119,0.1529496725728738,0.1153296673948379,-0.2224970249785798,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23,2359.06,2339.4
2384.76,3,2018,11,18,-0.3260066973229514,0.1126420221850313,0.0269160497302285,0.1007025357278251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23,2359.06
2375.21,20,2018,11,19,0.1591447908575856,0.1283199827399242,-0.0613581949503722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06,2349.23
2371.71,20,2018,11,20,-0.0731347632756807,-0.0521018134331151,-0.2187494328174322,0.0269160497302285,-0.1320037631494788,0.0209847562454425,0.0169127081534877,0.0502752849556022,-0.0522005961088754,0.0209847562454425,0.0668318986649053,0.0464639050226607,0.0598384326770069,0.0510272693007804,-0.0083763369293315,-0.0975225555242854,0.0120897236975789,-0.0303173785688143,0.3470318529404891,0.0173630208256165,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24,2359.06
2339.29,40,2018,11,21,0.0677491057425161,0.2726084601095234,-0.2187494328174322,0.0269160497302285,0.3626419882087064,-0.0361794982264881,-0.1207275860950154,0.0136004517495082,0.1715381711556343,-0.0099724162010866,0.4691518890990174,-0.0381112302346175,0.18516917562298,0.0209847562454425,-0.3491641850828115,0.31183655967632,0.0209847562454425,-0.3423704764507254,0.1478335194465896,-0.0911649089164375,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09,2362.24
2358.14,20,2018,11,22,0.0219019633230533,0.0209847562454425,0.0278332568078393,0.3086155632865921,0.2657488182265921,0.0565871029514776,-0.2187494328174322,0.1495163511986133,-0.064956206451845,0.0209847562454425,0.0579782988331113,0.0197996824609928,-0.2333685093266006,0.0713921385873588,-0.1134225412332484,-0.2858936104973846,0.0269160497302285,0.0888630323453272,0.0495699456582926,0.014878396124781,2339.29,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31,2374.09
2368.39,20,2018,11,23,0.0199299937749981,0.0470879867988881,0.3601381254919503,0.1502375483584624,-0.0300665829922199,0.0209847562454425,0.2799318561648534,0.1712627045653305,-0.2277314544919031,0.0220955429837303,-0.0616315996149554,0.2755020037473936,-0.1675747036243588,0.0678026584041721,0.0948030985576838,0.0209847562454425,-0.1684719069852516,0.1153296673948379,-0.220595425641985,-0.0496665799411085,2358.14,2339.29,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36,2405.31
2363.2649999999994,4,2018,11,24,0.210169709730229,-0.0572146825160506,-0.0414597085305615,0.179819365114195,0.5627899227261851,0.0084027387564883,0.3289852500762888,0.1329252281229432,-0.1346624644801239,0.188097089091977,0.0209847562454425,0.0307792412531983,-0.0498033450989915,0.0498031023225658,0.1975889813546191,0.2132637428183922,0.0269160497302285,0.3375256236338395,0.1036375525304638,0.191827384875948,2368.39,2358.14,2339.29,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35,2405.36
2368.39,3,2018,11,25,0.0209847562454425,-0.4800870132216405,0.0209847562454425,0.0316964483308091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363.2649999999994,2368.39,2358.14,2339.29,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355,2401.35
2344.38,20,2018,11,26,0.0345316389740128,-0.219184968763987,0.0209847562454425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368.39,2363.2649999999994,2368.39,2358.14,2339.29,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35,2403.355
2311.17,40,2018,11,27,-0.5202765090862531,-0.1431798289175514,-0.0278091552906426,-0.0738690146544557,0.0209847562454425,0.0383740456756764,0.0209847562454425,0.1879783312467109,-0.0321799367498315,0.0064023899076883,0.0307792412531983,-0.0278163930755961,-0.0227917151076372,0.3772727979101228,-0.1126745554322198,0.2760152216526905,0.0209847562454425,-0.060318858551766,0.0269160497302285,0.0047792337762815,2344.38,2368.39,2363.2649999999994,2368.39,2358.14,2339.29,2371.71,2375.21,2384.76,2383.595,2384.76,2382.43,2368.89,2388.27,2407.97,2431.85,2439.0399999999995,2431.85,2446.23,2411.46,2381.38,2364.36,2364.36,2358.65,2364.36,2352.94,2306.18,2311.54,2290.53,2328.82,2325.9249999999997,2328.82,2323.03,2311.28,2302.84,2347.29,2381.06,2395.0149999999994,2381.06,2408.97,2422.45,2387.35,2405.53,2371.68,2378.855,2371.68,2386.03,2445.78,2459.63,2449.95,2458.28,2475.41,2458.28,2492.54,2451.45,2475.65,2481.45,2467.95,2445.8499999999995,2467.95,2423.75,2445.35,2432.76,2426.41,2401.35
